disease,drug_name,drug_id,confidence,novelty_level,novelty_score,is_known_treatment,combined_score,pillars_hit,pubmed_articles,pubmed_treatment,pubmed_repurposing,clinical_trials,faers_signal,faers_cooccurrences,faers_total_reports,signature_reversal,signature_rank,shared_targets,direct_relations,max_citations,mol_similarity,similar_to,transe_rank,mr_score,mr_genetic_targets,mechanistic_hypothesis,ai_hypothesis,novelty_interpretation,confidence_reasons
Amyotrophic lateral sclerosis,Arimoclomol,DB05025,LOW,NOVEL,0.85,False,1.0996999740600586,3,32,30,0,0,none,0,0,False,0,0,0,0,0,,13,0,0,,,Novel prediction with minimal existing evidence (32 articles). Computational support suggests this warrants investigation.,Supported by 3 independent AI pillars
Amyotrophic lateral sclerosis,Trimetazidine,DB09069,LOW,NOVEL,0.95,False,1.038100004196167,2,7,7,2,0,none,0,0,False,0,0,0,0,0,,315,0,0,,,Novel prediction with minimal existing evidence (7 articles). Computational support suggests this warrants investigation.,Supported by 2 independent AI pillars
Amyotrophic lateral sclerosis,Pridopidine,DB11947,LOW,NOVEL,0.85,False,1.0342,2,14,13,0,0,none,0,0,False,0,0,0,0,0,,17,0,0,,,Novel prediction with minimal existing evidence (14 articles). Computational support suggests this warrants investigation.,Supported by 2 independent AI pillars
Amyotrophic lateral sclerosis,Technetium Tc 99m tetrofosmin,DB09160,LOW,NOVEL,0.95,False,1.0262999534606934,2,1,0,0,0,none,0,0,False,0,0,0,0,0,,625,0,0,,,Novel prediction with minimal existing evidence (1 articles). Computational support suggests this warrants investigation.,Supported by 2 independent AI pillars
Amyotrophic lateral sclerosis,Quinine,DB00468,LOW,BREAKTHROUGH,1.0,False,1.0250999927520752,5,0,14,0,0,none,0,0,False,0,0,0,0,1.0,Quinidine,179,0,0,,,No published evidence found for this drug-disease pair. Strong computational prediction suggests a potential new discovery. Requires experimental validation.,Supported by 5 independent AI pillars; High molecular similarity (1.00) to Quinidine
Amyotrophic lateral sclerosis,Estradiol,DB00783,LOW,BREAKTHROUGH,1.0,False,1.0133999586105347,4,0,60,0,0,none,0,0,False,0,0,0,0,0,,34,0,0,,,No published evidence found for this drug-disease pair. Strong computational prediction suggests a potential new discovery. Requires experimental validation.,Supported by 4 independent AI pillars
Amyotrophic lateral sclerosis,Neamine,DB04808,LOW,NOVEL,0.8,False,1.0092999935150146,2,2,1,0,0,none,0,0,False,0,0,0,7009,0,,1075,0,0,,,Novel prediction with minimal existing evidence (2 articles). Computational support suggests this warrants investigation.,"Supported by 2 independent AI pillars; Highly cited paper (7009 citations): ""Mutations in Cu/Zn superoxide dismutase gene are associated ..."""
Amyotrophic lateral sclerosis,Aztreonam,DB00355,LOW,NOVEL,0.8,False,1.0073000192642212,2,1,0,0,0,none,0,14036,False,0,0,0,7009,0,,1128,0,0,,,Novel prediction with minimal existing evidence (1 articles). Computational support suggests this warrants investigation.,"Supported by 2 independent AI pillars; Highly cited paper (7009 citations): ""Mutations in Cu/Zn superoxide dismutase gene are associated ..."""
Amyotrophic lateral sclerosis,Everolimus,DB01590,LOW,NOVEL,0.8,False,1.0037000179290771,4,8,8,0,0,weak,2,16399,False,0,0,0,7009,0.8727,Sirolimus,447,0,0,,,Novel prediction with minimal existing evidence (8 articles). Computational support suggests this warrants investigation.,"Supported by 4 independent AI pillars; High molecular similarity (0.87) to Sirolimus; Highly cited paper (7009 citations): ""Mutations in Cu/Zn superoxide dismutase gene are associated ..."""
Anxiety,Prochlorperazine,DB00433,HIGH,EMERGING,0.9,False,1.187000036239624,6,43,36,1,0,strong,916,38628,False,0,0,0,59,0.7,Trifluoperazine,176,0.5251,1,,of its anxiolytic properties.,"Emerging repurposing candidate. Some evidence exists (43 articles, 1 mention repurposing) but not yet validated in trials.",43 PubMed articles found; 1 article(s) specifically mention repurposing/repositioning; Supported by 6 independent AI pillars; High molecular similarity (0.70) to Trifluoperazine; Strong FAERS signal: 916 adverse event reports link drug to disease (38628 total reports); Supporting paper with 59 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.53)
Anxiety,Paliperidone,DB01267,HIGH,KNOWN,0.54,False,1.083299994468689,5,54,54,0,2,strong,242,7999,False,0,0,0,1299,0.7465,Risperidone,165,0.5251,1,,of its anxiolytic properties.,"Known association with moderate evidence (54 articles, 2 trials). Already being studied.","2 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 54 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; High molecular similarity (0.75) to Risperidone; CAUTION: Drug had terminated/withdrawn trials (Phase 3) for this disease; Strong FAERS signal: 242 adverse event reports link drug to disease (7999 total reports); Highly cited paper (1299 citations): ""Canadian Network for Mood and Anxiety Treatments (CANMAT) an...""; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.53)"
Anxiety,Amoxapine,DB00543,HIGH,EMERGING,0.96,False,1.079200029373169,5,22,17,1,0,strong,12,485,False,0,0,0,25,0.7391,Loxapine,93,0.5251,1,,of its anxiolytic properties.,"Emerging repurposing candidate. Some evidence exists (22 articles, 1 mention repurposing) but not yet validated in trials.",22 PubMed articles found; 1 article(s) specifically mention repurposing/repositioning; Supported by 5 independent AI pillars; High molecular similarity (0.74) to Loxapine; Strong FAERS signal: 12 adverse event reports link drug to disease (485 total reports); Supporting paper with 25 citations; AI analysis of 1 abstract(s) found positive treatment signals; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.53)
Anxiety,Clozapine,DB00363,HIGH,KNOWN,0.54,False,1.0716,6,442,347,2,4,strong,826,79594,False,0,0,0,27,0.5577,Loxapine,43,0.5085,2,,of its anxiolytic properties.,"Known association with moderate evidence (442 articles, 4 trials). Already being studied.",4 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 442 PubMed articles on this drug-disease pair; 2 article(s) specifically mention repurposing/repositioning; Supported by 6 independent AI pillars; High molecular similarity (0.56) to Loxapine; Strong FAERS signal: 826 adverse event reports link drug to disease (79594 total reports); Supporting paper with 27 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.51)
Anxiety,Melatonin,DB01065,HIGH,ESTABLISHED,0.36,True,1.0714999437332153,5,933,693,4,10,strong,1812,53142,False,0,0,0,9,0.6042,Agomelatine,8,0.5378,1,,of its anxiolytic properties.,"Well-established drug-disease relationship (933 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 933 PubMed articles on this drug-disease pair; 4 article(s) specifically mention repurposing/repositioning; Supported by 5 independent AI pillars; High molecular similarity (0.60) to Agomelatine; Strong FAERS signal: 1812 adverse event reports link drug to disease (53142 total reports); AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.54); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Anxiety,Oxytocin,DB00107,HIGH,ESTABLISHED,0.25,True,1.0702999830245972,3,1492,811,1,10,strong,35,2656,False,0,0,0,14,0,,133,0.4836,1,,of its anxiolytic effects.,"Well-established drug-disease relationship (1492 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; 1492 PubMed articles on this drug-disease pair; 1 article(s) specifically mention repurposing/repositioning; Supported by 3 independent AI pillars; Strong FAERS signal: 35 adverse event reports link drug to disease (2656 total reports); AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.48); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Anxiety,"(11-BETA)-11,21-DIHYDROXY-PREGN-4-ENE-3,20-DIONE",DB04652,LOW,BREAKTHROUGH,1.0,False,1.069000005722046,4,0,0,0,0,none,0,0,False,0,0,0,23,0.7719,Aldosterone,98,0.4836,1,,of its anxiolytic effects.,No published evidence found for this drug-disease pair. Strong computational prediction suggests a potential new discovery. Requires experimental validation.,Supported by 4 independent AI pillars; High molecular similarity (0.77) to Aldosterone; Supporting paper with 23 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.48)
Anxiety,Tandospirone,DB12833,HIGH,KNOWN,0.66,False,1.0612000226974487,3,132,97,0,2,moderate,9,218,False,0,0,0,12,0,,128,0.5251,1,,of its anxiolytic and antidepressant properties.,"Known association with moderate evidence (132 articles, 2 trials). Already being studied.",2 clinical trial(s) found on ClinicalTrials.gov; 132 PubMed articles on this drug-disease pair; Supported by 3 independent AI pillars; Moderate FAERS signal: 9 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.53)
Anxiety,Escitalopram,DB01175,HIGH,ESTABLISHED,0.36,True,1.0582000017166138,4,864,799,1,10,strong,3229,74215,False,0,0,0,51,1.0,Citalopram,50,0.5251,1,,of its anxiolytic properties.,"Well-established drug-disease relationship (864 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 864 PubMed articles on this drug-disease pair; 1 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; High molecular similarity (1.00) to Citalopram; Strong FAERS signal: 3229 adverse event reports link drug to disease (74215 total reports); Supporting paper with 51 citations; AI analysis of 1 abstract(s) found positive treatment signals; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.53); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Anxiety,Perphenazine,DB00850,HIGH,KNOWN,0.65,False,1.0516,6,94,80,0,1,strong,68,2596,False,0,0,0,12,0.7059,Fluphenazine,42,0.435,2,,of its anxiolytic properties.,"Known association with moderate evidence (94 articles, 1 trials). Already being studied.",1 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 94 PubMed articles on this drug-disease pair; Supported by 6 independent AI pillars; High molecular similarity (0.71) to Fluphenazine; WARNING: Drug FAILED Phase 3 trial(s) for this disease (1 terminated/withdrawn); Strong FAERS signal: 68 adverse event reports link drug to disease (2596 total reports); AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.43)
Asthma,Pseudoephedrine,DB00852,HIGH,KNOWN,0.78,False,1.2298,6,73,61,0,0,strong,1405,21260,False,0,0,0,172,1.0,Ephedrine,195,0.6782,2,,of its anti-inflammatory properties.,"Known association with moderate evidence (73 articles, 0 trials). Already being studied.","73 PubMed articles on this drug-disease pair; Supported by 6 independent AI pillars; High molecular similarity (1.00) to Ephedrine; Strong FAERS signal: 1405 adverse event reports link drug to disease (21260 total reports); Highly cited paper (172 citations): ""Efficacy and safety of loratadine plus pseudoephedrine in pa...""; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.68)"
Asthma,Prednisolone,DB00860,HIGH,ESTABLISHED,0.24,True,1.19,4,1888,1775,1,10,strong,2198,190304,False,0,0,0,57,0,,10,0.8264,5,,of its anti-inflammatory properties.,"Well-established drug-disease relationship (1888 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 1888 PubMed articles on this drug-disease pair; 1 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Strong FAERS signal: 2198 adverse event reports link drug to disease (190304 total reports); Supporting paper with 57 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.83, 5 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Asthma,Cimetidine,DB00501,HIGH,KNOWN,0.78,False,1.1607,4,105,70,0,0,moderate,41,6463,False,0,0,0,17,0,,170,0.7942,3,,of its anti-inflammatory properties.,"Known association with moderate evidence (105 articles, 0 trials). Already being studied.","105 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Moderate FAERS signal: 41 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.79, 3 genetic targets)"
Asthma,Mesalazine,DB00244,MEDIUM,NOVEL,1.0,False,1.1518000364303589,4,3,3,0,0,moderate,9,8101,False,0,0,0,13,0,,141,0.7317,1,,of its anti-inflammatory properties.,Novel prediction with minimal existing evidence (3 articles). Computational support suggests this warrants investigation.,"3 PubMed article(s) - limited literature; Supported by 4 independent AI pillars; Moderate FAERS signal: 9 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.73, 1 genetic targets)"
Asthma,Dexamethasone,DB01234,HIGH,ESTABLISHED,0.24,True,1.1345,4,2053,1742,2,10,moderate,1583,312749,False,0,0,0,36,0,,1,0.8442,35,,of its anti-inflammatory properties.,"Well-established drug-disease relationship (2053 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 2053 PubMed articles on this drug-disease pair; 2 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Moderate FAERS signal: 1583 adverse event reports mention drug-disease co-occurrence; Supporting paper with 36 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.84, 35 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Asthma,Methylprednisolone,DB00959,HIGH,ESTABLISHED,0.36,True,1.1337,4,871,827,0,10,strong,1905,125031,False,0,0,0,11,0,,15,0.7545,6,,of its anti-inflammatory properties.,"Well-established drug-disease relationship (871 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 871 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Strong FAERS signal: 1905 adverse event reports link drug to disease (125031 total reports); AI analysis of 1 abstract(s) found positive treatment signals; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.75, 6 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Asthma,Fluocinolone Acetonide,DB00591,HIGH,KNOWN,0.78,False,1.1298,4,115,113,0,0,moderate,18,1863,False,0,0,0,33,0,,152,0.7158,2,,of its anti-inflammatory properties.,"Known association with moderate evidence (115 articles, 0 trials). Already being studied.","115 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Moderate FAERS signal: 18 adverse event reports mention drug-disease co-occurrence; Supporting paper with 33 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.72, 2 genetic targets)"
Asthma,Budesonide,DB01222,HIGH,ESTABLISHED,0.24,True,1.1289,4,3237,3117,2,10,strong,8014,57606,False,0,0,0,16,0,,7,0.8188,11,,of its anti-inflammatory properties.,"Well-established drug-disease relationship (3237 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 3237 PubMed articles on this drug-disease pair; 2 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Strong FAERS signal: 8014 adverse event reports link drug to disease (57606 total reports); AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.82, 11 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Asthma,Adenosine triphosphate,DB00171,HIGH,KNOWN,0.66,False,1.1267,5,216,111,1,2,weak,1,239,False,0,0,0,46,0.8333,Adenosine monophosphate,114,0.7759,11,,of its anti-inflammatory properties.,"Known association with moderate evidence (216 articles, 2 trials). Already being studied.","2 clinical trial(s) found on ClinicalTrials.gov; 216 PubMed articles on this drug-disease pair; 1 article(s) specifically mention repurposing/repositioning; Supported by 5 independent AI pillars; High molecular similarity (0.83) to Adenosine monophosphate; Supporting paper with 46 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.78, 11 genetic targets)"
Asthma,Cortisone,DB14681,HIGH,KNOWN,0.54,False,1.1263999938964844,4,412,361,0,1,strong,1520,28722,False,0,0,0,38,0,,107,0.8997,1,,of its anti-inflammatory properties.,"Known association with moderate evidence (412 articles, 1 trials). Already being studied.","1 clinical trial(s) found on ClinicalTrials.gov; 412 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Strong FAERS signal: 1520 adverse event reports link drug to disease (28722 total reports); Supporting paper with 38 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.90, 1 genetic targets)"
Atherosclerosis,2-Amino-4-Mercapto-Butyric Acid,DB04422,HIGH,ESTABLISHED,0.36,True,1.228,4,2828,1237,0,8,none,0,0,False,0,0,0,51,0,,3,0.8109,7,,of its anti-inflammatory and antioxidant properties.,"Well-established drug-disease relationship (2828 articles, 8 trials). Not a repurposing candidate.","8 clinical trial(s) found on ClinicalTrials.gov; 2828 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Supporting paper with 51 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.81, 7 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Atherosclerosis,Dexamethasone,DB01234,HIGH,KNOWN,0.66,False,1.2129,5,198,121,0,4,moderate,7,312749,False,0,0,0,9,0,,38,0.7146,24,,of its anti-inflammatory and anti-atherogenic properties.,"Known association with moderate evidence (198 articles, 4 trials). Already being studied.","4 clinical trial(s) found on ClinicalTrials.gov; 198 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; Moderate FAERS signal: 7 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.71, 24 genetic targets)"
Atherosclerosis,Doxorubicin,DB00997,HIGH,NOVEL,1.0,False,1.2063,5,72,61,0,0,moderate,3,105620,False,0,0,0,8,0,,59,0.7955,21,,of its anti-inflammatory and antioxidant properties.,Novel prediction with minimal existing evidence (72 articles). Computational support suggests this warrants investigation.,"72 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; Moderate FAERS signal: 3 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.80, 21 genetic targets)"
Atherosclerosis,Simvastatin,DB00641,HIGH,KNOWN,0.78,False,1.1826,4,0,0,0,10,moderate,17,210219,False,0,0,0,48,0,,5,0.7762,26,,it reduces the expression of inflammatory cytokines and adhesion molecules.,"Known association with moderate evidence (0 articles, 10 trials). Already being studied.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; Supported by 4 independent AI pillars; Moderate FAERS signal: 17 adverse event reports mention drug-disease co-occurrence; Supporting paper with 48 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.78, 26 genetic targets)"
Atherosclerosis,Captopril,DB01197,MEDIUM,BREAKTHROUGH,1.0,False,1.1812,4,0,0,0,0,moderate,5,10043,False,0,0,0,2,0,,52,0.5943,3,,it reduces the formation of Angiotensin II and the expression of Angiotensin II type 1 receptor.,No published evidence found for this drug-disease pair. Strong computational prediction suggests a potential new discovery. Requires experimental validation.,Supported by 4 independent AI pillars; Moderate FAERS signal: 5 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.59)
Atherosclerosis,Icosapent,DB00159,HIGH,ESTABLISHED,0.36,True,1.1794,5,131,125,0,9,none,0,2551,False,0,0,0,356,0.6667,Dihomo-gamma-linolenic acid,67,0.7035,2,,of its ability to reduce triglyceride-rich lipoproteins and improve endothelial function.,"Well-established drug-disease relationship (131 articles, 9 trials). Not a repurposing candidate.","9 clinical trial(s) found on ClinicalTrials.gov; 131 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; High molecular similarity (0.67) to Dihomo-gamma-linolenic acid; Highly cited paper (356 citations): ""Effect of icosapent ethyl on progression of coronary atheros...""; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.70, 2 genetic targets)"
Atherosclerosis,Probucol,DB01599,HIGH,ESTABLISHED,0.48,True,1.1747,3,515,393,0,6,none,0,260,False,0,0,0,34,0,,22,0.855,5,,of its antioxidant properties.,"Well-established drug-disease relationship (515 articles, 6 trials). Not a repurposing candidate.","6 clinical trial(s) found on ClinicalTrials.gov; 515 PubMed articles on this drug-disease pair; Supported by 3 independent AI pillars; Supporting paper with 34 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.85, 5 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Atherosclerosis,Torcetrapib,DB06281,HIGH,KNOWN,0.66,False,1.1714,3,128,118,0,0,none,0,4,False,0,0,0,887,0,,162,0.7406,2,,of its lipid-lowering properties.,"Known association with moderate evidence (128 articles, 0 trials). Already being studied.","128 PubMed articles on this drug-disease pair; Supported by 3 independent AI pillars; Highly cited paper (887 citations): ""Effect of torcetrapib on the progression of coronary atheros...""; AI analysis of 1 abstract(s) found positive treatment signals; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.74, 2 genetic targets)"
Atherosclerosis,Alpha-Linolenic Acid,DB00132,HIGH,ESTABLISHED,0.3,True,1.1686,5,188,89,0,10,none,0,10,False,0,0,0,168,0.7931,Dihomo-gamma-linolenic acid,82,0.4145,3,,of its anti-inflammatory and antioxidant properties.,"Well-established drug-disease relationship (188 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; 188 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; High molecular similarity (0.79) to Dihomo-gamma-linolenic acid; Highly cited paper (168 citations): ""Reduction of hypercholesterolemic atherosclerosis by CDC-fla...""; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.41)"
Atherosclerosis,HMPL-004,DB05767,MEDIUM,NOVEL,1.0,False,1.1672,3,0,0,0,0,none,0,0,False,0,0,0,145,0,,63,0.6159,2,,of its anti-inflammatory and antioxidant effects.,Novel prediction with minimal existing evidence (0 articles). Computational support suggests this warrants investigation.,"Supported by 3 independent AI pillars; Highly cited paper (145 citations): ""Andrographis paniculata Extract (HMPL-004) for Active Ulcera...""; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.62)"
Atrial fibrillation,Encainide,DB01228,MEDIUM,NOVEL,1.0,False,1.187399983406067,4,32,31,0,0,none,0,3,False,0,0,0,8,0,,37,0.9365,1,,of its unique mechanism of action.,Novel prediction with minimal existing evidence (32 articles). Computational support suggests this warrants investigation.,"32 PubMed articles found; Supported by 4 independent AI pillars; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.94, 1 genetic targets)"
