drugbank_id	entity	smiles
DB00104	Compound::DB00104	C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)C(=O)N[C@H](CO)[C@@H](C)O)O
DB00106	Compound::DB00106	C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC3=CN=CC=C3)NC(=O)[C@@H](CC4=CC=C(C=C4)Cl)NC(=O)[C@@H](CC5=CC6=CC=CC=C6C=C5)NC(=O)C
DB00114	Compound::DB00114	CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
DB00115	Compound::DB00115	CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
DB00116	Compound::DB00116	C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
DB00117	Compound::DB00117	C1=C(NC=N1)C[C@@H](C(=O)O)N
DB00118	Compound::DB00118	C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O
DB00119	Compound::DB00119	CC(=O)C(=O)O
DB00120	Compound::DB00120	C1=CC=C(C=C1)C[C@@H](C(=O)O)N
DB00121	Compound::DB00121	C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
DB00122	Compound::DB00122	C[N+](C)(C)CCO
DB00123	Compound::DB00123	C(CCN)C[C@@H](C(=O)O)N
DB00125	Compound::DB00125	C(C[C@@H](C(=O)O)N)CN=C(N)N
DB00126	Compound::DB00126	C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
DB00127	Compound::DB00127	C(CCNCCCN)CNCCCN
DB00128	Compound::DB00128	C([C@@H](C(=O)O)N)C(=O)O
DB00129	Compound::DB00129	C(C[C@@H](C(=O)O)N)CN
DB00130	Compound::DB00130	C(CC(=O)N)[C@@H](C(=O)O)N
DB00131	Compound::DB00131	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
DB00132	Compound::DB00132	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
DB00133	Compound::DB00133	C([C@@H](C(=O)O)N)O
DB00134	Compound::DB00134	CSCC[C@@H](C(=O)O)N
DB00135	Compound::DB00135	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
DB00136	Compound::DB00136	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
DB00137	Compound::DB00137	CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=C[C@@H](CC2(C)C)O)C)/C)/C
DB00138	Compound::DB00138	C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N
DB00139	Compound::DB00139	C(CC(=O)O)C(=O)O
DB00140	Compound::DB00140	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O
DB00141	Compound::DB00141	CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O
DB00142	Compound::DB00142	C(CC(=O)O)[C@@H](C(=O)O)N
DB00143	Compound::DB00143	C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
DB00144	Compound::DB00144	CCCC(=O)O[C@H](COC(=O)CC)COP(=O)(O)OC[C@@H](C(=O)O)N
DB00145	Compound::DB00145	C(C(=O)O)N
DB00146	Compound::DB00146	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
DB00147	Compound::DB00147	CC1=NC=C(C(=C1O)C=O)CO
DB00148	Compound::DB00148	CN(CC(=O)O)C(=N)N
DB00149	Compound::DB00149	CC(C)C[C@@H](C(=O)O)N
DB00150	Compound::DB00150	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
DB00151	Compound::DB00151	C([C@@H](C(=O)O)N)S
DB00152	Compound::DB00152	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
DB00153	Compound::DB00153	C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
DB00154	Compound::DB00154	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
DB00155	Compound::DB00155	C(C[C@@H](C(=O)O)N)CNC(=O)N
DB00156	Compound::DB00156	C[C@H]([C@@H](C(=O)O)N)O
DB00157	Compound::DB00157	C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
DB00158	Compound::DB00158	C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
DB00159	Compound::DB00159	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
DB00160	Compound::DB00160	C[C@@H](C(=O)O)N
DB00161	Compound::DB00161	CC(C)[C@@H](C(=O)O)N
DB00162	Compound::DB00162	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
DB00163	Compound::DB00163	CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C
DB00165	Compound::DB00165	CC1=NC=C(C(=C1O)CO)CO
DB00166	Compound::DB00166	C1CSS[C@@H]1CCCCC(=O)O
DB00167	Compound::DB00167	CC[C@H](C)[C@@H](C(=O)O)N
DB00168	Compound::DB00168	COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N
DB00169	Compound::DB00169	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
DB00170	Compound::DB00170	CC1=CC(=O)C2=CC=CC=C2C1=O
DB00171	Compound::DB00171	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
DB00172	Compound::DB00172	C1C[C@H](NC1)C(=O)O
DB00173	Compound::DB00173	C1=NC2=NC=NC(=C2N1)N
DB00174	Compound::DB00174	C([C@@H](C(=O)O)N)C(=O)N
DB00175	Compound::DB00175	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O
DB00176	Compound::DB00176	COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F
DB00177	Compound::DB00177	CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O
DB00178	Compound::DB00178	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O
DB00179	Compound::DB00179	C[C@H](CC1=CC(=C(C=C1)O)O)[C@@H](C)CC2=CC(=C(C=C2)O)O
DB00180	Compound::DB00180	C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O
DB00181	Compound::DB00181	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
DB00182	Compound::DB00182	CC(CC1=CC=CC=C1)N
DB00183	Compound::DB00183	CC(C)(C)OC(=O)NCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N
DB00184	Compound::DB00184	CN1CCC[C@H]1C2=CN=CC=C2
DB00185	Compound::DB00185	CC1O[C@]2(CN3CCC2CC3)CS1
DB00186	Compound::DB00186	C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
DB00187	Compound::DB00187	CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
DB00188	Compound::DB00188	B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
DB00189	Compound::DB00189	CCC(/C=C/Cl)(C#C)O
DB00190	Compound::DB00190	C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
DB00191	Compound::DB00191	CC(C)(CC1=CC=CC=C1)N
DB00192	Compound::DB00192	CC(C)NCCCC1(C2=CC=CC=C2C3=CC=CC=C31)C(=O)N
DB00193	Compound::DB00193	CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O
DB00194	Compound::DB00194	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N
DB00195	Compound::DB00195	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
DB00196	Compound::DB00196	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
DB00197	Compound::DB00197	CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
DB00198	Compound::DB00198	CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC
DB00199	Compound::DB00199	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
DB00200	Compound::DB00200	CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co]
DB00201	Compound::DB00201	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
DB00202	Compound::DB00202	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203	Compound::DB00203	CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
DB00204	Compound::DB00204	CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
DB00205	Compound::DB00205	CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
DB00206	Compound::DB00206	CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
DB00207	Compound::DB00207	CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
DB00208	Compound::DB00208	C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
DB00209	Compound::DB00209	C1CC[N+]2(C1)[C@@H]3CC[C@H]2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O
DB00210	Compound::DB00210	COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
DB00211	Compound::DB00211	COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
DB00212	Compound::DB00212	CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC3CCCCC3)[C@H]([C@H](C4CC4)O)O
DB00213	Compound::DB00213	COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
DB00214	Compound::DB00214	CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
DB00215	Compound::DB00215	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
DB00216	Compound::DB00216	CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4
DB00217	Compound::DB00217	CNC(=NC)NCC1=CC=CC=C1
DB00218	Compound::DB00218	COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
DB00219	Compound::DB00219	CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
DB00220	Compound::DB00220	CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
DB00221	Compound::DB00221	CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
DB00222	Compound::DB00222	CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
DB00223	Compound::DB00223	C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F
DB00224	Compound::DB00224	CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
DB00225	Compound::DB00225	CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3]
DB00226	Compound::DB00226	C1CCC2(CC1)OCC(O2)CN=C(N)N
DB00227	Compound::DB00227	CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
DB00228	Compound::DB00228	C(C(OC(F)F)(F)F)(F)Cl
DB00229	Compound::DB00229	CN(C)CCN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O
DB00230	Compound::DB00230	CC(C)C[C@@H](CC(=O)O)CN
DB00231	Compound::DB00231	CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
DB00232	Compound::DB00232	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
DB00233	Compound::DB00233	C1=CC(=C(C=C1N)O)C(=O)O
DB00234	Compound::DB00234	CCOC1=CC=CC=C1O[C@@H]([C@H]2CNCCO2)C3=CC=CC=C3
DB00235	Compound::DB00235	CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
DB00236	Compound::DB00236	C1CN(CCN1C(=O)CCBr)C(=O)CCBr
DB00237	Compound::DB00237	CCC(C)C1(C(=O)NC(=O)NC1=O)CC
DB00238	Compound::DB00238	CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
DB00239	Compound::DB00239	C1=CC(=C(C=C1Cl)Cl)CO/N=C(\CN2C=CN=C2)/C3=C(C=C(C=C3)Cl)Cl
DB00240	Compound::DB00240	C[C@@H]1C[C@H]2[C@@H]3[C@@H](CC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)C)Cl
DB00241	Compound::DB00241	CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
DB00242	Compound::DB00242	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
DB00243	Compound::DB00243	CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
DB00244	Compound::DB00244	C1=CC(=C(C=C1N)C(=O)O)O
DB00245	Compound::DB00245	CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
DB00246	Compound::DB00246	C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
DB00247	Compound::DB00247	CCC(CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
DB00248	Compound::DB00248	CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C
DB00249	Compound::DB00249	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O
DB00250	Compound::DB00250	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
DB00251	Compound::DB00251	CC(C)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=NC=N4)C5=C(C=C(C=C5)Cl)Cl
DB00252	Compound::DB00252	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
DB00253	Compound::DB00253	C[C@H]1C[C@H]2[C@@H]3CC[C@@H]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)CC4)C)O)C)C(=O)C
DB00254	Compound::DB00254	C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
DB00255	Compound::DB00255	CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O
DB00256	Compound::DB00256	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCNCCCC[C@@H](C(=O)O)N)N(C)C)O
DB00257	Compound::DB00257	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
DB00258	Compound::DB00258	CC(=O)[O-].CC(=O)[O-].[Ca+2]
DB00259	Compound::DB00259	C1=CC(=CC=C1N)S(=O)(=O)N
DB00260	Compound::DB00260	C1[C@H](C(=O)NO1)N
DB00261	Compound::DB00261	C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3
DB00262	Compound::DB00262	C(CCl)NC(=O)N(CCCl)N=O
DB00263	Compound::DB00263	CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
DB00264	Compound::DB00264	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
DB00265	Compound::DB00265	CCN(C1=CC=CC=C1C)C(=O)C=CC
DB00266	Compound::DB00266	C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O
DB00267	Compound::DB00267	CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O
DB00268	Compound::DB00268	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
DB00269	Compound::DB00269	COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC
DB00270	Compound::DB00270	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC
DB00271	Compound::DB00271	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
DB00272	Compound::DB00272	C1=C(NN=C1)CCN
DB00273	Compound::DB00273	CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C
DB00274	Compound::DB00274	CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)O
DB00275	Compound::DB00275	CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
DB00276	Compound::DB00276	COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
DB00277	Compound::DB00277	CN1C2=C(C(=O)N(C1=O)C)NC=N2
DB00278	Compound::DB00278	C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
DB00279	Compound::DB00279	C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O
DB00280	Compound::DB00280	CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
DB00281	Compound::DB00281	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
DB00282	Compound::DB00282	C(CN)C(O)(P(=O)(O)O)P(=O)(O)O
DB00283	Compound::DB00283	C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C
DB00284	Compound::DB00284	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO
DB00285	Compound::DB00285	CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
